category,gene
tumor_epithelial,EPCAM
tumor_epithelial,KRT8
tumor_epithelial,KRT18
tumor_epithelial,KLK3
tumor_epithelial,KLK2
tumor_epithelial,ACPP
tumor_epithelial,NKX3-1
tumor_epithelial,AR
tumor_epithelial,AMACR
tumor_epithelial,ERG
basal_benign,TP63
basal_benign,KRT5
basal_benign,KRT14
proliferation_invasion,MKI67
proliferation_invasion,TOP2A
proliferation_invasion,MMP7
proliferation_invasion,MMP9
immune,PTPRC
immune,CD3D
immune,CD8A
immune,MS4A1
immune,NKG7
immune,LYZ
immune,C1QA
immune,CD68
stroma_caf_smooth_muscle,COL1A1
stroma_caf_smooth_muscle,COL1A2
stroma_caf_smooth_muscle,DCN
stroma_caf_smooth_muscle,LUM
stroma_caf_smooth_muscle,ACTA2
stroma_caf_smooth_muscle,TAGLN
endothelial,PECAM1
endothelial,VWF
endothelial,KDR
